Description,Quantity,Average_Daily_Sales,Current_Stock,Reorder_Level,Need_Reorder,Recommended_Order
 4 PURPLE FLOCK DINNER CANDLES,140,0.3753351206434316,112,3.0,False,0.0
 50'S CHRISTMAS GIFT BAG LARGE,1885,5.053619302949062,445,35.0,False,0.0
 DOLLY GIRL BEAKER,2398,6.428954423592494,358,45.0,False,0.0
 I LOVE LONDON MINI BACKPACK,360,0.9651474530831099,280,7.0,False,0.0
 I LOVE LONDON MINI RUCKSACK,1,0.002680965147453083,116,0.0,False,0.0
 NINE DRAWER OFFICE TIDY,55,0.14745308310991956,81,1.0,False,0.0
 OVAL WALL MIRROR DIAMANTE ,121,0.32439678284182305,198,2.0,False,0.0
 RED SPOT GIFT BAG LARGE,1700,4.557640750670242,30,32.0,True,2.0
 SET 2 TEA TOWELS I LOVE LONDON ,2627,7.042895442359249,112,49.0,False,0.0
 SPACEBOY BABY GIFT SET,450,1.2064343163538873,131,8.0,False,0.0
 TOADSTOOL BEDSIDE LIGHT ,2,0.005361930294906166,476,0.0,False,0.0
 TRELLIS COAT RACK,217,0.5817694369973191,224,4.0,False,0.0
10 COLOUR SPACEBOY PEN,6267,16.801608579088473,340,118.0,False,0.0
12 COLOURED PARTY BALLOONS,2110,5.656836461126005,468,40.0,False,0.0
12 DAISY PEGS IN WOOD BOX,327,0.8766756032171582,97,6.0,False,0.0
12 EGG HOUSE PAINTED WOOD,111,0.2975871313672922,382,2.0,False,0.0
12 HANGING EGGS HAND PAINTED,42,0.1126005361930295,109,1.0,False,0.0
12 IVORY ROSE PEG PLACE SETTINGS,749,2.008042895442359,369,14.0,False,0.0
12 MESSAGE CARDS WITH ENVELOPES,1628,4.3646112600536195,161,31.0,False,0.0
12 PENCIL SMALL TUBE WOODLAND,4007,10.742627345844504,140,75.0,False,0.0
12 PENCILS SMALL TUBE RED RETROSPOT,6400,17.158176943699733,159,120.0,False,0.0
12 PENCILS SMALL TUBE SKULL,6734,18.053619302949063,318,126.0,False,0.0
12 PENCILS TALL TUBE POSY,3809,10.211796246648793,267,71.0,False,0.0
12 PENCILS TALL TUBE RED RETROSPOT,2652,7.109919571045577,353,50.0,False,0.0
12 PENCILS TALL TUBE SKULLS,2019,5.412868632707775,423,38.0,False,0.0
12 PENCILS TALL TUBE WOODLAND,1851,4.962466487935657,303,35.0,False,0.0
12 PINK HEN+CHICKS IN BASKET,41,0.10991957104557641,395,1.0,False,0.0
12 PINK ROSE PEG PLACE SETTINGS,214,0.5737265415549598,201,4.0,False,0.0
12 RED ROSE PEG PLACE SETTINGS,400,1.0723860589812333,453,8.0,False,0.0
15 PINK FLUFFY CHICKS IN BOX,10,0.02680965147453083,286,0.0,False,0.0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1266,3.3941018766756033,170,24.0,False,0.0
16 PC CUTLERY SET PANTRY DESIGN,4,0.010723860589812333,469,0.0,False,0.0
16 PIECE CUTLERY SET PANTRY DESIGN,210,0.5630026809651475,323,4.0,False,0.0
18PC WOODEN CUTLERY SET DISPOSABLE,503,1.3485254691689008,31,9.0,False,0.0
2 DAISIES HAIR COMB,6,0.0160857908847185,262,0.0,False,0.0
2 PICTURE BOOK EGGS EASTER BUNNY,158,0.42359249329758714,245,3.0,False,0.0
2 PICTURE BOOK EGGS EASTER CHICKS,161,0.4316353887399464,354,3.0,False,0.0
2 PICTURE BOOK EGGS EASTER DUCKS,115,0.30831099195710454,58,2.0,False,0.0
20 DOLLY PEGS RETROSPOT,2368,6.348525469168901,484,44.0,False,0.0
200 BENDY SKULL STRAWS,638,1.710455764075067,68,12.0,False,0.0
200 RED + WHITE BENDY STRAWS,761,2.040214477211796,179,14.0,False,0.0
3 BIRDS CANVAS SCREEN,2,0.005361930294906166,485,0.0,False,0.0
3 BLACK CATS W HEARTS BLANK CARD,24,0.064343163538874,197,0.0,False,0.0
3 DRAWER ANTIQUE WHITE WOOD CABINET,715,1.9168900804289544,473,13.0,False,0.0
3 GARDENIA MORRIS BOXED CANDLES,492,1.3190348525469169,280,9.0,False,0.0
3 HEARTS HANGING DECORATION RUSTIC,2895,7.761394101876675,199,54.0,False,0.0
3 HOOK HANGER MAGIC GARDEN,1617,4.335120643431635,455,30.0,False,0.0
3 HOOK PHOTO SHELF ANTIQUE WHITE,1723,4.619302949061662,184,32.0,False,0.0
3 PIECE SPACEBOY COOKIE CUTTER SET,2514,6.7399463806970505,455,47.0,False,0.0
3 PINK HEN+CHICKS IN BASKET,12,0.032171581769437,60,0.0,False,0.0
3 RAFFIA RIBBONS 50'S CHRISTMAS ,1792,4.804289544235925,373,34.0,False,0.0
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,679,1.8203753351206435,64,13.0,False,0.0
3 ROSE MORRIS BOXED CANDLES,1072,2.8739946380697052,253,20.0,False,0.0
3 STRIPEY MICE FELTCRAFT,2923,7.836461126005362,329,55.0,False,0.0
3 TIER CAKE TIN GREEN AND CREAM,364,0.9758713136729222,140,7.0,False,0.0
3 TIER CAKE TIN RED AND CREAM,652,1.7479892761394102,494,12.0,False,0.0
3 TIER SWEETHEART GARDEN SHELF,55,0.14745308310991956,316,1.0,False,0.0
3 TRADITIONAL COOKIE CUTTERS  SET,162,0.4343163538873995,144,3.0,False,0.0
3 TRADITIONAl BISCUIT CUTTERS  SET,1156,3.099195710455764,30,22.0,False,0.0
3 WHITE CHOC MORRIS BOXED CANDLES,884,2.3699731903485253,338,17.0,False,0.0
3 WICK CHRISTMAS BRIAR CANDLE ,2,0.005361930294906166,176,0.0,False,0.0
36 DOILIES DOLLY GIRL,905,2.4262734584450403,283,17.0,False,0.0
36 DOILIES VINTAGE CHRISTMAS,5153,13.815013404825738,397,97.0,False,0.0
36 FOIL HEART CAKE CASES,2003,5.369973190348525,98,38.0,False,0.0
36 FOIL STAR CAKE CASES ,1005,2.6943699731903483,325,19.0,False,0.0
36 PENCILS TUBE POSY,27,0.07238605898123325,23,1.0,False,0.0
36 PENCILS TUBE RED RETROSPOT,3523,9.445040214477212,251,66.0,False,0.0
36 PENCILS TUBE SKULLS,1631,4.372654155495979,274,31.0,False,0.0
36 PENCILS TUBE WOODLAND,1597,4.281501340482574,355,30.0,False,0.0
3D CHRISTMAS STAMPS STICKERS ,1075,2.8820375335120643,62,20.0,False,0.0
3D DOG PICTURE PLAYING CARDS,293,0.7855227882037533,395,5.0,False,0.0
3D HEARTS  HONEYCOMB PAPER GARLAND,294,0.7882037533512064,349,6.0,False,0.0
3D SHEET OF CAT STICKERS,216,0.579088471849866,101,4.0,False,0.0
3D SHEET OF DOG STICKERS,272,0.7292225201072386,376,5.0,False,0.0
3D TRADITIONAL CHRISTMAS STICKERS,1471,3.9436997319034854,453,28.0,False,0.0
3D VINTAGE CHRISTMAS STICKERS ,1522,4.080428954423592,464,29.0,False,0.0
4 BLUE DINNER CANDLES SILVER FLOCK,86,0.23056300268096513,437,2.0,False,0.0
4 BURGUNDY WINE DINNER CANDLES,55,0.14745308310991956,273,1.0,False,0.0
4 IVORY DINNER CANDLES SILVER FLOCK,453,1.2144772117962466,440,9.0,False,0.0
4 LAVENDER BOTANICAL DINNER CANDLES,840,2.25201072386059,44,16.0,False,0.0
